conference_acronym	conference_name	conference_location
CIESC 2013	XXI Iberoamerican Congress on Higher Education in Computing	Naiguatá, VENEZUELA
BiDaTA 2013	Adbis Special session on Big Data: New Trends and Applications	Genoa, Italy
CSE 2013	The International Workshop on Cloud and Service Engineering	Aalborg, Denmark
ICDIM 2013	Eighth International Conference on Digital Information Management	Islamabad
RSmeetDB 2013	3rd Workshop on Recommender Systems meet Databases	Prague, Czech Republic
MEDI 2013	Third International Conference On Model and Data Engineering	Amantea, Calabria, Italy
SoEA4EE 2013	The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering	Vancouver, Canada
SEBD 2013	21th Italian Symposium on Advanced Database Systems	Roccella Jonica (RC) - ITALY
IMDM 2013	First Workshop on In-Memory Data Management - Applications and Architectures	Koblenz, Germany
GRADES 2013	Graph Data-management Experiences and Systems	New York, NY, USA
SI-MCS 2013	CFP: Mathematics in Computer Science, Special Issue on Mathematics, Data and Knowledge	Mathematics in Computer Science
CPS 2013	Special Session on Cooperative Problem Solving	Craiova, Romania
MobiDE 2013	12th International ACM Workshop on Data Engineering for Wireless and Mobile Access	New York, USA
DEXA 2013	24th International Conference on Database and Expert Systems Applications	Prague, Czech Republik
DaWaK 2013	15th International Conference on Data Warehousing and Knowledge Discovery	Prague, Czech Republic
DBSocial 2013	ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013	New York, NY, USA
DaMoN 2013	Ninth International Workshop on Data Management on New Hardware	New York, NY, USA
SWEET 2013	2nd International Workshop on Scalable Workflow Enactment Engines and Technologies	New York, NY, USA
WOD 2013	2nd International Workshop on Open Data	Paris, France
WebDB 2013	16th International Workshop on the Web and Databases	New York, NY, USA
DEOS 2013	Workshop on Data Extraction and Object Search	Oxford, United Kingdom
DyNetMM 2013	First SIGMOD/PODS Workshop on Dynamic Networks Management and Mining	New York, USA
SSTD 2013	13th International Symposium on Spatial and Temporal Databases	Munich, Germany
VLDB 2013	International Conference on Very Large Data Bases	Lago Di Garda, Trento, Italy
miproBIS 2013	Business Intelligence Systems	Opatija, Croatia
DILS 2013	The Ninth International Conference on Data Integration in the Life Sciences 2013	Montreal, Quebec, Canada
iCICS 2013	The 4th International Conference on Information and Communication Systems	Irbid, Jordan
BNCOD 2013	29th British National Conference on Databases	University of Oxford, United Kingdom
ICWS 2013	IEEE 20th International Conference on Web Services	Santa Clara, CA, USA
AMW 2013	The 7th Alberto Mendelzon International Workshop on Foundations of Data Management	Puebla/Cholula, Mexico
SYRCoDIS 2013	The Ninth Spring Researchers Colloquium on Databases and Information Systems 2013	Kazan, Russia
DMC 2013 at BTW 2013	1st Workshop on Data Management in the Cloud	Magdeburg, Germany
BDAS 2013	IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	Ustron, Poland
PAIS 2013	6th International Workshop on Privacy and Anonymity in the Information Society	Genoa, Italy
DaMEN 2013	The Second International Workshop on Data Management for Emerging Network Infrastructure	Sydney, Australia
GraphQ 2013	The Second International Workshop on Querying Graph Structured Data	Genoa, Italy
EnDM 2013	Workshop on Energy Data Management at EDBT	Genoa, Italy
EnDM@EDBT 2013	Workshop on Energy Data Management	Genoa, Italy
BEWEB 2013	4th International Workshop on Business IntelligencE and the Web	Genoa, Italy
BIGProv 2013	International Workshop on Managing and Querying Provenance Data at Scale	Genova, Italy
PODS 2013	32nd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	New York, New York, USA
DNIS 2013	8th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
BDI 2013	International Symposium on Biomedical Data infrastructure	Kuala Lumpur, Malaysia
SMDB 2013	8th International Workshop on Self-Managing Database Systems	Brisbane, Australia
SIGMOD 2013	ACM SIGMOD International Conference on Management of Data	New York
SIPIJ 2012	Signal & Image Processing : An International Journal	N/A
ACIIDS 2013	Special Session on Intelligent Recommended Systems	Kuala Lumpur, Malaysia
DASFAA 2013	The 18th International Conference on Database Systems for Advanced Applications	Wuhan, China
PrivDB 2013	First International Workshop on Privacy-Preserving Data Publication and Analysis	Brisbane, Australia
CICCI 2013	2nd International Conference on Informatics and Computer Sciences	La Habana, Cuba
EDBT 2013	International Conference on Extending Database Technology	Genoa, Italy
DBDBD 2012	The Dutch Belgian Database Day	Brussels, Belgium
GDM 2013	The 4th International Workshop on Graph Data Management: Techniques and Applications	Brisbane, Australia
ASIIS (ACM SAC) 2013	ACM SAC - Track on ADVANCES IN SPATIAL AND IMAGE-BASED INFORMATION SYSTEMS (ASIIS 13)	Coimbra, Portugal
ACM - DTTA Track 2013	ACM Scientific Applications Conference - Database Theory, Technology and Applications Track	Coimbra, Portugal
PDAC 2012	3rd International Workshop on Petascale Data Analytics: Challenges and Opportunities	Salt Lake City, Utah, USA
NetSys PhD Forum 2013	The Conference on Networked Systems PhD Forum	Stuttgart, Germany
ICDT 2013	16th International Conference on Database Theory	Genoa, Italy
COMAD 2012	18th International Conference on Management of Data	Pune, India
CIDR 2013	6th BIENNIAL CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH	Asilomar, California
CSE 2012	The 15th IEEE International Conference on Computational Science and Engineering	Paphos, Cyprus
C-Big 2012	International Workshop on Collaborative Big Data	Pittsburgh, PA, USA
CDMW 2012	City Data Management Workshop 2012 in conj. with CIKM 2012	Maui, Hawaii USA
ICDE 2013	29TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING	Brisbane, Australia
Oriental COCOSDA 2012	International Conference on Speech Database and Assessments	Macau, China
ICE-B 2012	International Conference on e-Business	Rome, Italy
INTECH 2012	The Second International Conference on Innovative Computing Technology	Rabat
CloudDB 2012	The Fourth International Workshop on Cloud Data Management	Maui, Hawaii, USA
WISE 2012	The 13th International Conference on Web Information System Engineering	Paphos, Cyprus
SoDAC 2012	INNS Symposium on Data Analytics and Competitions	Bangkok, Thailand
SOCC 2012	ACM Symposium on Cloud Computing	San Jose, CA
CIKM Posters 2012	Posters: 21st ACM International Conference on Information and Knowledge Management	Maui, USA
BIRTE 2012	VLDB12 Workshop on Real-Time Business Intelligence	Istanbul, Turkey
BIGDATA 2012	Workshop on End-to-End Management of Big Data	Istanbul, Turkey
NISTBigData 2012	NIST Big Data Workshop	Gaithersburg, MD USA
QDB 2012	10th International Workshop on Quality in DataBases	Istanbul, Turkey
SBBD 2012	27th Brazilian Symposium on Database	São Paulo, Brazil
ECAI AIL 2012	Workshop on Active and Incremental Learning	Montpellier, France
IASIM 2012	Special Session on Intelligent Agents & Simulation	Rome, Italy
CIKM 2012	21st ACM International Conference on Information and Knowledge Management	Maui, U.S.A
CIKM 2012	21st ACM International Conference on Information and Knowledge Management	Maui, USA
SDM 2012	9th VLDB Workshop on Secure Data Management	Istanbul, Turkey
EDB 2012	The fourth International Conference on Emerging Databases - Technologies, Applications, and Theory	Seoul, Korea
IDEAS 2012	16th International Database Engineering & Applications Symposium	Prague,
SOMOCO 2012	International Workshop on SOcial and MObile COmputing for collaborative environments	Rome, Italy
PersDB 2012	Sixth International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases	Istanbul, Turkey
MDDE 2012	The First International Workshop on Multimedia Databases and Data Engineering	Istanbul, Turkey
DBRank 2012	Sixth International Workshop on Ranking in Databases	Instabul, Turkey
MCSD 2012	Mining Complex and Stream Data, MCSD 12	Poznan, Poland
MDSP 2012	The 1st International Workshop on Massive Data Storage and Processing	Harbin, China
NIMD 2012	Networking Implantable Medical Devices	Rome, Italy
ECDM 2012	Sixth International Workshop On Evolution And Change In Data Management	Florence, Italy
SUM 2012	Sixth International Conference on Scalable Uncertainty Management	Marburg, Germany
CISIM 2012	11th International Conference on Computer Information Systems and Industrial Management Applications	Venice, Italy
JISBD 2012	XVII Jornadas de Ingeniería del Software y Bases de Datos	Almería, Spain
XMLDM 2012	The Third International Workshop on XML Data Management	Harbin, China
DATA 2012	International Conference on Data Technologies and Applications	Rome, Italy
DIM 2012	IEEE International Workshop on Data Integration and Mining	Las Vegas, Nevada, USA
DBLM 2012	International Workshop on Database Technology for Life Sciences and Medicine	Vienna, Austria
MEDI 2012	2nd International Conference On Model and Data Engineering	Poitiers, Futuroscope, France
HDMS 2012	2012 The Hellenic Data Management Symposium	Chania, Crete, Greece
MORE-BI 2012	2nd Int. Workshop on Modeling and Reasoning for Business Intelligence (MORE-BI 2012) at ER 2012	Florence, Italy
SEBD 2012	20th Italian Symposium on Advanced Database Systems	Venice, Italy
DaWaK 2012	14th International Conference on Data Warehousing and Knowledge Discovery	Vienna, Austria
SISAP 2012	5th International Conference on Similarity Search and Applications	Toronto, Canada
RSmeetDB 2012	2nd Workshop on Recommender Systems meet Databases	Vienna, Austria
BalticDB&IS 2012	10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
DBTest 2012	Fifth International Workshop on Testing Database Systems	Scottsdale, Arizona, USA
SYRCoDIS 2012	The Eighth Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
DBSocial 2012	Second ACM SIGMOD Workshop on Databases and Social Networks	Scottsdale, AZ, United States
WebDB 2012	15th International Workshop on the Web and Databases	Scottsdale, AZ, USA
WOD 2012	First International Workshop on Open Data	Nantes, France
WOD 2012	First International Workshop on Open Data (DEADLINE EXTENDED to MARCH 8th)	Nantes, France
DCNET 2012	International Conference on Data Communication Networking (DCNET)	Rome, Italy
DCNET 2012	International Conference on Data Communication Networking	Rome, Italy
AMW 2012	6th ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT	Ouro Preto, Brazil
VLDB 2012	38th International Conference on Very Large Databases	Istanbul, Turkey
BalticDB&IS 2012	10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
DATA 2012	International Conference on Data Technologies and Applications (DATA)	Rome, Italy
MobiDE 2012	11th International ACM Workshop on Data Engineering for Wireless and Mobile Access	Scottsdale, Arizona, USA
VAST 2012	2nd Int'l Workshop on Variability-intensive Systems Testing, Validation & Verification	Montreal, Canada
SSDBM 2012	24th International Conference on Scientific and Statistical Database Management	Chania, Crete, Greece
SSDBM 2012	24th International Conference on SCIENTIFIC and Statistical Database Management	Chania, Crete, Greece
BDAS 2012	Bazy Danych - Aplikacje i Systemy	Ustron, Poland
NEDB Summit 2012	Fifth Annual New England Database Summit	Cambridge, MA, USA
FlashDB 2012	The Second International Workshop on Flash-based Database Systems	Busan, South Korea
MDM 2012	13th IEEE International Conference on Mobile Data Management	Bangalore, India
KES-IDT 2012	4th KES International Conference on Intelligent Decision Technologies	Gifu, Japan
PODS 2012	31st ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems	Scottsdale, Arizona, USA
AIKED 2012	11th WSEAS International Conference on ARTIFICIAL INTELLIGENCE, KNOWLEDGE ENGINEERING and DATA BASES	Cambridge. UK
SMDB 2012	Seventh International Workshop on Self-Managing Database Systems	Washington DC, USA
DMC 2012	The 1st International Workshop on Data Management in the Cloud	Washington DC, USA
DBDBD 2011	The Dutch Belgian Database Day	University of Twente, The Netherlands
SIGMOD 2012	2012 ACM SIGMOD International Conference on Management of Data	Scottsdale, Arizona, USA
SDMSM 2012	ICDE Workshop on Secure Data Management on Smart Phones and Mobile Devices	Washington DC, USA
STIR 2012	ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval	Washington DC, USA
GDM 2012	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Washington DC, USA
HIS 2012	The 1st International Conference on Health Information Science	Beijing, China
DBKDA 2012	The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	Reunion Island
ISCI 2012	2012 IEEE Symposium on Computers & Informatics	Penang, Malaysia
D-CLOUD 2011	The 2011 International Workshop on Data Cloud	Hong Kong
COMNET SI on GreenNets 2011	COMNET Special Issue on “Green Communication Networks”	N/A
ACIIDS 2012	The 4th Asian Conference on Intelligent Information and Database Systems	Kaohsiung, Taiwan
XLDB 2011	5th Extremely Large Databases Conference	Menlo Park, CA
ADC 2012	Australasian Database Conference	Melbourne, Australia
HPCDB 2011	1st Workshop on High Performance Computing Meets Databases	Seattle, WA, USA
DNIS 2011	7th International Workshop on Databases in Networked Information Systems	Aizu-Wakamatsu, Japan
COMAD 2011	The 17th International Conference on Management of Data	Bangalore, Karnataka, India
OrdRing 2011	First International Workshop on Ordering and Reasoning	Bonn, Germany
DDDM 2011	The 5th International Workshop on Domain Driven Data Mining	Vancouver, Canada
ICDT 2012	15th International Conference on Database Theory	Berlin, Germany
DDDM 2011	CFP: DDDM 2011 Workshop joint with ICDM 2011, Deadline July 23, Vancouver, Canada	Vancouver, Canada
UOII 2011	Workshop User Oriented Information Integration	Riga, Latvia
VDA 2012	Conference on Visualization and Data Analysis	Burlingame, CA
IDEAS '11D 2011	15th International Database Engineering & Applications Symposium	Lisbon
DOLAP 2011	Fourteenth International Workshop on Data Warehousing and Olap	Glasgow, Scotland, UK
FDML 2011	International Symposium on Foundations of Data Mining and Learning	Kaohsiung, Taiwan
Oriental COCOSDA 2011	International Conference on Speech Database and Assessments	Hsinchu City, Taiwan
CAIA 2011	Context Aware Intelligent Assistance	Berlin, Germany
CloudDB 2011	Third International Workshop on Cloud Data Management	Glasgow, Scotland, U.K.
QoS-Workshop 2011	The 1st International Workshop on Service Oriented QoS Management from Theory to Practice	Beijing China
DBPL 2011	The 13th International Symposium on Database Programming Languages	Seattle, USA
DBRank 2011	Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	Seattle, WA, USA
VLDS 2011	First International Workshop on Searching and Integrating New Web Data Sources	Seattle, WA, United States
QDB 2011	9th International Workshop on Quality in Databases	Seattle, WA, USA
CMS 2011	2nd International Workshop on Conceptual Modelling of Services	Milan, Italy
EDB 2011	The Third International Conference on Emerging Databases - Technologies, Applications and Theory	Incheon, Korea
TPCTC 2011	Third TPC Technology Conference on Performance Evaluation & Benchmarking	Seattle, WA
IDEAS 2011	IDEAS'11: 15th International Database Engineering & Applications Symposium	Lisbon
WOD - Summer School 2011	WEB OF DATA: Joint RuSSIR/EDBT Summer School 2011	Saint-Petersburg
CIKM 2011	20th ACM Conference on Information and Knowledge Management	Glasgow, Scotland, UK
CIKM 2011	20th ACM International Conference on Information and Knowledge Management	Glasgow, Scotland, UK
TC4SP 2011	Second International Workshop on Traceability and Compliance of Semi-Structured Processes	Clermont-Ferrand, France
KEOD 2011	Int'l Conf. on Knowledge Engineering and Ontology Development	Paris, France
CECIIS 2011	Central European Conference on Information and Intelligent Systems	Varazdin, Croatia
SUM 2011	Fifth International Conference on Scalable Uncertainty Management	Dayton, Ohio
DBLM 2011	International Workshop on Database Technology for Life Sciences and Medicine	Toulouse, France
SDM 2011	8th VLDB Workshop on Secure Data Management	Seattle, WA, USA
exploreWeb 2011	First International Workshop on Search, Exploration and Navigation of Web Data Sources	Paphos, Cyprus
RSmeetDBs 2011	Recommender Systems meet Databases	Toulouse
JISBD 2011	XVI Jornadas de Ingeniería del Software y Bases de Datos	A Coruña, Spain
HDMS 2011	10th Hellenic Data Management Symposium	Athens, Greece
DocEng 2011	ACM Symposium on Document Engineering	Mountain View, CA, USA
TLAD 2011	9th International Workshop on Teaching, Learning and Assessment of Databases	Manchester, United Kingdom
Globe 2011	4th International Conference on Data Management in Grid and P2P Systems	Toulouse, France
GeoDBIS 2011	1st International Workshop on Geometric Objects in Databases and Information Systems	Vienna, Austria
TaPP 2011	3rd USENIX Workshop on the Theory and Practice of Provenance	Heraklion, Crete, Greece
Balisage 2011	Balisage: The Markup Conference	Montréal, Canada
DBSocial 2011	ACM SIGMOD Workshop on Databases and Social Networks	Athens, Greece
GID 2011	First ADBIS workshop on GPUs In Databases	Vienna, Austria
ADBIS 2011	Fifteenth East-European Conference on Advances in Databases and Information Systems	Vienna, Austria
DaMoN 2011	Seventh International Workshop on Data Management on New Hardware	Athens, Greece
DBTest 2011	4th International Workshop on Testing Database Systems	Athens, Greece
MobiDE 2011	10th ACM International Workshop on Data Engineering for Wireless and Mobile Access	Athens, Greece
DaWaK 2011	13th International Conference on Data Warehousing and Knowledge Discovery	Toulouse, France
SEBD 2011	19th Italian Symposium on Advanced Database Systems	Maratea, Italy
MIMIC 2011	Fifth International Workshop on Management and Interaction with Multimodal Information Content	Toulose, France
IDAR 2011	SIGMOD/PODS PhD Workshop on Innovative Database Research	Athens, Greece
DEXA 2011	Database and Expert Systems Applications	Toulouse, France
E-LKR 2011	1st International Workshop on Exploiting Large Knowledge Repositories	Toulouse, France
DALI 2011	Data, Logic and Inconsistency	Toulouse, France
SOTM-EU 2011	1st State of the Map - Europe Conference	Vienna, Austria
